,Seller Name,Seller type,BHK,Location,Total Price,price per sqft,Area_sqft,Construction status
169,Hallmark Builders,BUILDER,2 BHK Apartment,"Patighanpur, Hyderabad", 70.66 L,"5,499 ",1285 ,Under Construction
170,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 87.15 L,"5,499 ",1585 ,Under Construction
171,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 87.15 L,"5,499 ",1585 ,Under Construction
172,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 93.48 L,"5,499 ",1700 ,Under Construction
173,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 93.48 L,"5,499 ",1700 ,Under Construction
174,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 29.6 L,"1,777 ",1665 ,New
175,Alekya Infraa Developers,AGENT,Residential Plot,"Nallagandla Gachibowli, Hyderabad", 27.2 L,"1,777 ",1530 ,New
176,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 48.75 L,"1,444 ",3375 ,New
177,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 23.4 L,"1,444 ",1620 ,New
178,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 22.1 L,"1,444 ",1530 ,New
179,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 21.19 L,"1,444 ",1467 ,New
180,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 64 L,"1,777 ",3600 ,New
181,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 32.5 L,"1,444 ",2250 ,New
182,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 75 L,"2,777 ",2700 ,New
183,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 62.5 L,"2,777 ",2250 ,New
184,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 56.25 L,"2,777 ",2025 ,New
